step,walltime,value,smoothed,sessionName
0,1572077428.7378514,0.0696895455609114,0.0696895455609114,team18/sr-hack-2019-50000/216
1,1572078902.1769009,0.054249893832407546,0.054249893832407546,team18/sr-hack-2019-50000/216
2,1572080373.6021087,0.04752756125465841,0.04752756125465841,team18/sr-hack-2019-50000/216
3,1572081833.9969006,0.03993041618818894,0.03993041618818894,team18/sr-hack-2019-50000/216
4,1572083311.501252,0.036254814471533385,0.036254814471533385,team18/sr-hack-2019-50000/216
5,1572084773.0750997,0.031179047106003867,0.031179047106003867,team18/sr-hack-2019-50000/216
6,1572086209.5592968,0.02803113041531155,0.02803113041531155,team18/sr-hack-2019-50000/216
7,1572087651.958583,0.025949244340198376,0.025949244340198376,team18/sr-hack-2019-50000/216
8,1572089088.5143006,0.023333595361308655,0.023333595361308655,team18/sr-hack-2019-50000/216
9,1572090524.9580371,0.0214911499083601,0.0214911499083601,team18/sr-hack-2019-50000/216
10,1572091970.841602,0.02101339324330138,0.02101339324330138,team18/sr-hack-2019-50000/216
11,1572093398.842517,0.019442731968567144,0.019442731968567144,team18/sr-hack-2019-50000/216
12,1572094798.2393067,0.01779332077930043,0.01779332077930043,team18/sr-hack-2019-50000/216
13,1572096213.140199,0.01736269122892327,0.01736269122892327,team18/sr-hack-2019-50000/216
14,1572097666.1238632,0.01685621535935716,0.01685621535935716,team18/sr-hack-2019-50000/216
15,1572099116.4348702,0.015524015464962373,0.015524015464962373,team18/sr-hack-2019-50000/216
16,1572100577.1174076,0.014918076996940938,0.014918076996940938,team18/sr-hack-2019-50000/216
17,1572102033.4481688,0.013927478131706925,0.013927478131706925,team18/sr-hack-2019-50000/216
18,1572103495.344707,0.013836586361807462,0.013836586361807462,team18/sr-hack-2019-50000/216
19,1572104953.6113183,0.012908959558528511,0.012908959558528511,team18/sr-hack-2019-50000/216
20,1572106412.933611,0.012574525979525434,0.012574525979525434,team18/sr-hack-2019-50000/216
21,1572107869.3218563,0.01220341330954315,0.01220341330954315,team18/sr-hack-2019-50000/216
22,1572109312.5958521,0.01112918039817045,0.01112918039817045,team18/sr-hack-2019-50000/216
23,1572110766.8952894,0.011528641184827612,0.011528641184827612,team18/sr-hack-2019-50000/216
24,1572112202.4596574,0.00994542522976804,0.00994542522976804,team18/sr-hack-2019-50000/216
25,1572113655.1283104,0.01042689842772711,0.01042689842772711,team18/sr-hack-2019-50000/216
26,1572115101.3712327,0.0097076888600734,0.0097076888600734,team18/sr-hack-2019-50000/216
27,1572116545.0683477,0.009195384049072733,0.009195384049072733,team18/sr-hack-2019-50000/216
28,1572117988.0014312,0.008921553254997166,0.008921553254997166,team18/sr-hack-2019-50000/216
29,1572119436.3218884,0.008682886638142292,0.008682886638142292,team18/sr-hack-2019-50000/216
30,1572120882.4116333,0.007677900507052616,0.007677900507052616,team18/sr-hack-2019-50000/216
31,1572122330.1589565,0.00748195663175327,0.00748195663175327,team18/sr-hack-2019-50000/216
32,1572123771.1958208,0.00701421516712423,0.00701421516712423,team18/sr-hack-2019-50000/216
33,1572125210.9656513,0.006652485052175987,0.006652485052175987,team18/sr-hack-2019-50000/216
34,1572126651.1429307,0.006345173185869841,0.006345173185869841,team18/sr-hack-2019-50000/216
