step,walltime,value,smoothed,sessionName
0,1570714281.2389245,0.10479257517389506,0.10479257517389506,team18/sr-hack-2019-50000/160
1,1570715441.2727315,0.08170905910779495,0.08170905910779495,team18/sr-hack-2019-50000/160
2,1570716610.9166577,0.07011681189250173,0.07011681189250173,team18/sr-hack-2019-50000/160
3,1570717777.1853447,0.058517832515245456,0.058517832515245456,team18/sr-hack-2019-50000/160
4,1570718944.222796,0.051638969172178764,0.051638969172178764,team18/sr-hack-2019-50000/160
5,1570720120.4229856,0.046468895792645785,0.046468895792645785,team18/sr-hack-2019-50000/160
6,1570721283.593897,0.041904125282969336,0.041904125282969336,team18/sr-hack-2019-50000/160
7,1570722451.8904884,0.03928480816000192,0.03928480816000192,team18/sr-hack-2019-50000/160
8,1570723614.7504187,0.035295529187455515,0.035295529187455515,team18/sr-hack-2019-50000/160
9,1570724778.9979749,0.0339605588541717,0.0339605588541717,team18/sr-hack-2019-50000/160
10,1570725944.6488724,0.03196051615675082,0.03196051615675082,team18/sr-hack-2019-50000/160
11,1570727106.4315884,0.02984894560810009,0.02984894560810009,team18/sr-hack-2019-50000/160
12,1570728279.099328,0.02848655233607144,0.02848655233607144,team18/sr-hack-2019-50000/160
13,1570729448.2276337,0.02768011765468101,0.02768011765468101,team18/sr-hack-2019-50000/160
14,1570730621.2272165,0.026158381868161194,0.026158381868161194,team18/sr-hack-2019-50000/160
15,1570731786.5021427,0.025393594840811835,0.025393594840811835,team18/sr-hack-2019-50000/160
16,1570732942.5453515,0.02215551556256577,0.02215551556256577,team18/sr-hack-2019-50000/160
17,1570734110.8247094,0.021878435253602724,0.021878435253602724,team18/sr-hack-2019-50000/160
18,1570735274.835932,0.021307731997423522,0.021307731997423522,team18/sr-hack-2019-50000/160
19,1570736444.9599023,0.020873700445655036,0.020873700445655036,team18/sr-hack-2019-50000/160
20,1570737607.6145797,0.019478983324904796,0.019478983324904796,team18/sr-hack-2019-50000/160
21,1570738775.0118449,0.020079488166400178,0.020079488166400178,team18/sr-hack-2019-50000/160
22,1570739934.4223857,0.017521588603789304,0.017521588603789304,team18/sr-hack-2019-50000/160
23,1570741095.3272502,0.016972878261207778,0.016972878261207778,team18/sr-hack-2019-50000/160
24,1570742253.5533864,0.01571741349280055,0.01571741349280055,team18/sr-hack-2019-50000/160
25,1570743412.726148,0.014933853779194216,0.014933853779194216,team18/sr-hack-2019-50000/160
26,1570744568.7688897,0.01442535204273227,0.01442535204273227,team18/sr-hack-2019-50000/160
27,1570745734.620404,0.015038312630934764,0.015038312630934764,team18/sr-hack-2019-50000/160
28,1570746906.683718,0.014660839478893063,0.014660839478893063,team18/sr-hack-2019-50000/160
29,1570748070.8036008,0.012996559843475463,0.012996559843475463,team18/sr-hack-2019-50000/160
30,1570749233.2931867,0.012202310338337286,0.012202310338337286,team18/sr-hack-2019-50000/160
31,1570750405.933585,0.012335279340062164,0.012335279340062164,team18/sr-hack-2019-50000/160
32,1570751577.4243279,0.012239191067595068,0.012239191067595068,team18/sr-hack-2019-50000/160
33,1570752744.922643,0.011722740599419978,0.011722740599419978,team18/sr-hack-2019-50000/160
34,1570753897.9130576,0.010096649857607524,0.010096649857607524,team18/sr-hack-2019-50000/160
35,1570755073.2735252,0.00917089084028804,0.00917089084028804,team18/sr-hack-2019-50000/160
36,1570756241.3698983,0.008608067387689506,0.008608067387689506,team18/sr-hack-2019-50000/160
37,1570757409.0139635,0.008473585149250845,0.008473585149250845,team18/sr-hack-2019-50000/160
38,1570758579.8033102,0.007866836227698949,0.007866836227698949,team18/sr-hack-2019-50000/160
39,1570759742.9794207,0.007507893092427282,0.007507893092427282,team18/sr-hack-2019-50000/160
40,1570760907.4159882,0.00736184797015917,0.00736184797015917,team18/sr-hack-2019-50000/160
41,1570762077.6628478,0.007003836688579325,0.007003836688579325,team18/sr-hack-2019-50000/160
42,1570763240.9212964,0.0066116319567266525,0.0066116319567266525,team18/sr-hack-2019-50000/160
43,1570764413.559817,0.0068099890713607236,0.0068099890713607236,team18/sr-hack-2019-50000/160
44,1570765580.0039797,0.006226688295686343,0.006226688295686343,team18/sr-hack-2019-50000/160
45,1570766731.2111812,0.00621520117990278,0.00621520117990278,team18/sr-hack-2019-50000/160
