step,walltime,value,smoothed,sessionName
0,1570018161.0113013,2.5366876310272537,2.5366876310272537,team18/sr-hack-2019-dataset/1174
10,1570018169.9212682,1.1554066629443513,1.1554066629443513,team18/sr-hack-2019-dataset/1174
20,1570018176.45043,1.076625386996904,1.076625386996904,team18/sr-hack-2019-dataset/1174
40,1570018192.211622,1.0390263131960185,1.0390263131960185,team18/sr-hack-2019-dataset/1174
110,1570018241.3063364,1.0130493257242557,1.0130493257242557,team18/sr-hack-2019-dataset/1174
120,1570018249.2976387,1.011196454456089,1.011196454456089,team18/sr-hack-2019-dataset/1174
130,1570018255.7390265,1.0098007439304841,1.0098007439304841,team18/sr-hack-2019-dataset/1174
170,1570018283.2533379,1.005601013629528,1.005601013629528,team18/sr-hack-2019-dataset/1174
180,1570018290.1060715,1.004783993740569,1.004783993740569,team18/sr-hack-2019-dataset/1174
200,1570018301.8193388,1.003487797748052,1.003487797748052,team18/sr-hack-2019-dataset/1174
330,1570018382.6536496,0.9872816915227629,0.9872816915227629,team18/sr-hack-2019-dataset/1174
350,1570018396.161684,0.9828114875497547,0.9828114875497547,team18/sr-hack-2019-dataset/1174
360,1570018402.4418905,0.9814236784828494,0.9814236784828494,team18/sr-hack-2019-dataset/1174
390,1570018423.3329113,0.9768186156527513,0.9768186156527513,team18/sr-hack-2019-dataset/1174
400,1570018428.860065,0.9749973422969641,0.9749973422969641,team18/sr-hack-2019-dataset/1174
410,1570018436.0702538,0.9739274791622405,0.9739274791622405,team18/sr-hack-2019-dataset/1174
420,1570018443.9567297,0.9725104810424596,0.9725104810424596,team18/sr-hack-2019-dataset/1174
430,1570018451.9453726,0.9718786052315589,0.9718786052315589,team18/sr-hack-2019-dataset/1174
470,1570018479.9857602,0.9642854069682394,0.9642854069682394,team18/sr-hack-2019-dataset/1174
480,1570018486.8015602,0.9629606208923008,0.9629606208923008,team18/sr-hack-2019-dataset/1174
490,1570018494.8969855,0.9620297600118941,0.9620297600118941,team18/sr-hack-2019-dataset/1174
500,1570018500.4052536,0.9604479062085047,0.9604479062085047,team18/sr-hack-2019-dataset/1174
520,1570018513.5353584,0.9576745961866618,0.9576745961866618,team18/sr-hack-2019-dataset/1174
650,1570018596.1916275,0.9374890992898965,0.9374890992898965,team18/sr-hack-2019-dataset/1174
700,1570018629.143706,0.9315878671494511,0.9315878671494511,team18/sr-hack-2019-dataset/1174
740,1570018653.5396218,0.9268520292274431,0.9268520292274431,team18/sr-hack-2019-dataset/1174
750,1570018660.9683764,0.9264310768956587,0.9264310768956587,team18/sr-hack-2019-dataset/1174
800,1570018692.4251208,0.9226166955429244,0.9226166955429244,team18/sr-hack-2019-dataset/1174
830,1570018711.2734876,0.9191903905252649,0.9191903905252649,team18/sr-hack-2019-dataset/1174
850,1570018725.8108454,0.9179062861936332,0.9179062861936332,team18/sr-hack-2019-dataset/1174
870,1570018739.027339,0.9161389163112112,0.9161389163112112,team18/sr-hack-2019-dataset/1174
925,1570018807.6993253,0.8401536416014183,0.8401536416014183,team18/sr-hack-2019-dataset/1174
945,1570018822.8928208,0.8368672712283595,0.8368672712283595,team18/sr-hack-2019-dataset/1174
985,1570018849.6112053,0.8414850557294679,0.8414850557294679,team18/sr-hack-2019-dataset/1174
1085,1570018913.947953,0.8358059928795474,0.8358059928795474,team18/sr-hack-2019-dataset/1174
1105,1570018926.7472029,0.8358861943720879,0.8358861943720879,team18/sr-hack-2019-dataset/1174
1155,1570018959.7336578,0.8341824502517382,0.8341824502517382,team18/sr-hack-2019-dataset/1174
1185,1570018978.952988,0.8339811777069678,0.8339811777069678,team18/sr-hack-2019-dataset/1174
1195,1570018984.3639264,0.831540727993325,0.831540727993325,team18/sr-hack-2019-dataset/1174
1215,1570018998.3364315,0.82889234957266,0.82889234957266,team18/sr-hack-2019-dataset/1174
1275,1570019037.4754465,0.8252758201953315,0.8252758201953315,team18/sr-hack-2019-dataset/1174
1365,1570019099.655957,0.8233218378205183,0.8233218378205183,team18/sr-hack-2019-dataset/1174
1395,1570019119.658843,0.8236361470658302,0.8236361470658302,team18/sr-hack-2019-dataset/1174
1415,1570019132.3169062,0.82313752021007,0.82313752021007,team18/sr-hack-2019-dataset/1174
1555,1570019219.1633313,0.812557989126,0.812557989126,team18/sr-hack-2019-dataset/1174
1575,1570019230.9844315,0.8109620474538871,0.8109620474538871,team18/sr-hack-2019-dataset/1174
1705,1570019311.5052996,0.8038857600387489,0.8038857600387489,team18/sr-hack-2019-dataset/1174
1755,1570019346.223743,0.8025672912562122,0.8025672912562122,team18/sr-hack-2019-dataset/1174
1770,1570019383.889669,0.6865979381443299,0.6865979381443299,team18/sr-hack-2019-dataset/1174
1810,1570019412.36825,0.7723445117447185,0.7723445117447185,team18/sr-hack-2019-dataset/1174
1850,1570019438.967028,0.764205883081803,0.764205883081803,team18/sr-hack-2019-dataset/1174
1880,1570019456.5767422,0.7530073340734136,0.7530073340734136,team18/sr-hack-2019-dataset/1174
1900,1570019469.2122366,0.7500346917063694,0.7500346917063694,team18/sr-hack-2019-dataset/1174
1930,1570019487.5428915,0.7552980465022849,0.7552980465022849,team18/sr-hack-2019-dataset/1174
1960,1570019505.4286118,0.7536828950573483,0.7536828950573483,team18/sr-hack-2019-dataset/1174
1980,1570019517.7789211,0.7527526854882837,0.7527526854882837,team18/sr-hack-2019-dataset/1174
2070,1570019575.6939924,0.7629159059828484,0.7629159059828484,team18/sr-hack-2019-dataset/1174
2090,1570019588.069525,0.7590157515126252,0.7590157515126252,team18/sr-hack-2019-dataset/1174
2150,1570019629.168147,0.7552859304729629,0.7552859304729629,team18/sr-hack-2019-dataset/1174
2210,1570019668.3850913,0.7509689521523841,0.7509689521523841,team18/sr-hack-2019-dataset/1174
2230,1570019682.834643,0.7504186647561195,0.7504186647561195,team18/sr-hack-2019-dataset/1174
2250,1570019695.676097,0.7496563994030203,0.7496563994030203,team18/sr-hack-2019-dataset/1174
2310,1570019734.9317634,0.7488698731631922,0.7488698731631922,team18/sr-hack-2019-dataset/1174
2340,1570019755.514078,0.7508668220314898,0.7508668220314898,team18/sr-hack-2019-dataset/1174
2370,1570019774.8990479,0.7513347147321459,0.7513347147321459,team18/sr-hack-2019-dataset/1174
2380,1570019780.9538782,0.752174591216676,0.752174591216676,team18/sr-hack-2019-dataset/1174
2400,1570019794.4837706,0.7528320557222625,0.7528320557222625,team18/sr-hack-2019-dataset/1174
2410,1570019801.5897615,0.7534464927844247,0.7534464927844247,team18/sr-hack-2019-dataset/1174
2430,1570019814.3002708,0.752747690835715,0.752747690835715,team18/sr-hack-2019-dataset/1174
2490,1570019852.7500215,0.750071699704766,0.750071699704766,team18/sr-hack-2019-dataset/1174
2530,1570019878.1201568,0.7505804453235166,0.7505804453235166,team18/sr-hack-2019-dataset/1174
2550,1570019890.8341064,0.7513987376295488,0.7513987376295488,team18/sr-hack-2019-dataset/1174
2570,1570019902.3887708,0.7490482450474548,0.7490482450474548,team18/sr-hack-2019-dataset/1174
2630,1570019940.4924924,0.7444475065895007,0.7444475065895007,team18/sr-hack-2019-dataset/1174
