step,walltime,value,smoothed,sessionName
0,1570713107.216321,0.21741340932884826,0.21741340932884826,team18/sr-hack-2019-50000/160
50,1570713148.7527485,0.1435811340614239,0.1435811340614239,team18/sr-hack-2019-50000/160
160,1570713236.6345525,0.13338604600681106,0.13338604600681106,team18/sr-hack-2019-50000/160
200,1570713267.1822278,0.1317041420332432,0.1317041420332432,team18/sr-hack-2019-50000/160
240,1570713296.976502,0.129879192884128,0.129879192884128,team18/sr-hack-2019-50000/160
320,1570713356.5592449,0.127124941912187,0.127124941912187,team18/sr-hack-2019-50000/160
340,1570713372.201816,0.12661090473958048,0.12661090473958048,team18/sr-hack-2019-50000/160
350,1570713379.5398874,0.12623640080783843,0.12623640080783843,team18/sr-hack-2019-50000/160
390,1570713413.3993258,0.12490094772547261,0.12490094772547261,team18/sr-hack-2019-50000/160
610,1570713579.2676015,0.11884437831897707,0.11884437831897707,team18/sr-hack-2019-50000/160
690,1570713640.2913828,0.11698195023005323,0.11698195023005323,team18/sr-hack-2019-50000/160
730,1570713669.7442122,0.1161318192979202,0.1161318192979202,team18/sr-hack-2019-50000/160
840,1570713752.127076,0.11386575368295467,0.11386575368295467,team18/sr-hack-2019-50000/160
890,1570713792.2983673,0.11297511210034714,0.11297511210034714,team18/sr-hack-2019-50000/160
970,1570713850.5757992,0.11175281012199821,0.11175281012199821,team18/sr-hack-2019-50000/160
980,1570713857.9519215,0.11158476994009968,0.11158476994009968,team18/sr-hack-2019-50000/160
1070,1570713926.5757551,0.1100870064047554,0.1100870064047554,team18/sr-hack-2019-50000/160
1110,1570713956.5646358,0.1093091804001081,0.1093091804001081,team18/sr-hack-2019-50000/160
1140,1570713979.150083,0.10892530525461147,0.10892530525461147,team18/sr-hack-2019-50000/160
1240,1570714056.6227932,0.10746736260658986,0.10746736260658986,team18/sr-hack-2019-50000/160
1250,1570714064.2565062,0.10735762342824144,0.10735762342824144,team18/sr-hack-2019-50000/160
1260,1570714072.4289854,0.10724094692166583,0.10724094692166583,team18/sr-hack-2019-50000/160
1280,1570714086.4356518,0.10701546099772927,0.10701546099772927,team18/sr-hack-2019-50000/160
1340,1570714131.6917167,0.1063532943338628,0.1063532943338628,team18/sr-hack-2019-50000/160
1350,1570714138.3032975,0.10616635925232458,0.10616635925232458,team18/sr-hack-2019-50000/160
1400,1570714178.6713927,0.10560586038486244,0.10560586038486244,team18/sr-hack-2019-50000/160
1420,1570714194.3018832,0.10536947346005832,0.10536947346005832,team18/sr-hack-2019-50000/160
1450,1570714215.149821,0.1050363648105597,0.1050363648105597,team18/sr-hack-2019-50000/160
1525,1570714327.2413602,0.0937250914747681,0.0937250914747681,team18/sr-hack-2019-50000/160
1575,1570714362.4533963,0.08869991576487357,0.08869991576487357,team18/sr-hack-2019-50000/160
1605,1570714384.1962643,0.08773416119757542,0.08773416119757542,team18/sr-hack-2019-50000/160
1705,1570714463.050611,0.08856251629595008,0.08856251629595008,team18/sr-hack-2019-50000/160
1745,1570714493.2563353,0.08761817665624307,0.08761817665624307,team18/sr-hack-2019-50000/160
1775,1570714515.3931487,0.08753786648100423,0.08753786648100423,team18/sr-hack-2019-50000/160
1825,1570714553.7049072,0.08713758983239836,0.08713758983239836,team18/sr-hack-2019-50000/160
1845,1570714569.199135,0.08712775377897794,0.08712775377897794,team18/sr-hack-2019-50000/160
2395,1570714977.6247325,0.08440651993906678,0.08440651993906678,team18/sr-hack-2019-50000/160
2445,1570715014.4224384,0.08410816400578326,0.08410816400578326,team18/sr-hack-2019-50000/160
