step,walltime,value,smoothed,sessionName
0,1569465836.3907917,0.9581181226139681,0.9581181226139681,team18/sr-hack-2019-dataset/513
1,1569466604.9608543,0.8600484882926897,0.8600484882926897,team18/sr-hack-2019-dataset/513
2,1569467380.6883168,0.8179007960696069,0.8179007960696069,team18/sr-hack-2019-dataset/513
3,1569468144.6516001,0.7580535021104782,0.7580535021104782,team18/sr-hack-2019-dataset/513
4,1569468914.9189868,0.7372397420679477,0.7372397420679477,team18/sr-hack-2019-dataset/513
5,1569469687.1381674,0.7032796051274766,0.7032796051274766,team18/sr-hack-2019-dataset/513
6,1569470457.7643013,0.6632996787306883,0.6632996787306883,team18/sr-hack-2019-dataset/513
7,1569471225.6018202,0.6216652841239797,0.6216652841239797,team18/sr-hack-2019-dataset/513
8,1569471994.1230652,0.5776339729693809,0.5776339729693809,team18/sr-hack-2019-dataset/513
9,1569472764.617185,0.5411577611057897,0.5411577611057897,team18/sr-hack-2019-dataset/513
10,1569473535.9010253,0.49961502678771935,0.49961502678771935,team18/sr-hack-2019-dataset/513
11,1569474303.5598536,0.45686466816684007,0.45686466816684007,team18/sr-hack-2019-dataset/513
12,1569475069.1309595,0.42365614559320247,0.42365614559320247,team18/sr-hack-2019-dataset/513
13,1569475828.3404155,0.388346310902533,0.388346310902533,team18/sr-hack-2019-dataset/513
14,1569476595.07633,0.3725097045330596,0.3725097045330596,team18/sr-hack-2019-dataset/513
15,1569477363.628773,0.3516959444905292,0.3516959444905292,team18/sr-hack-2019-dataset/513
16,1569478128.9007711,0.3252244531318029,0.3252244531318029,team18/sr-hack-2019-dataset/513
17,1569478899.6150248,0.30695426609898396,0.30695426609898396,team18/sr-hack-2019-dataset/513
18,1569479667.8687732,0.288945310888784,0.288945310888784,team18/sr-hack-2019-dataset/513
19,1569480434.5745714,0.27257249183077675,0.27257249183077675,team18/sr-hack-2019-dataset/513
20,1569481199.203747,0.25691691453136384,0.25691691453136384,team18/sr-hack-2019-dataset/513
21,1569481969.5676281,0.24207711380083136,0.24207711380083136,team18/sr-hack-2019-dataset/513
22,1569482733.8977473,0.22685921437966608,0.22685921437966608,team18/sr-hack-2019-dataset/513
23,1569483502.622058,0.21594476551006658,0.21594476551006658,team18/sr-hack-2019-dataset/513
24,1569484273.7923455,0.20837820868297915,0.20837820868297915,team18/sr-hack-2019-dataset/513
25,1569485039.6561813,0.19216121211565695,0.19216121211565695,team18/sr-hack-2019-dataset/513
26,1569485805.3207893,0.1826170845611993,0.1826170845611993,team18/sr-hack-2019-dataset/513
27,1569486574.7014003,0.1739735193426124,0.1739735193426124,team18/sr-hack-2019-dataset/513
28,1569487340.6458385,0.16409941474905704,0.16409941474905704,team18/sr-hack-2019-dataset/513
29,1569488108.0536218,0.15755716164750203,0.15755716164750203,team18/sr-hack-2019-dataset/513
30,1569488878.8188305,0.1484552949857239,0.1484552949857239,team18/sr-hack-2019-dataset/513
31,1569489653.3343413,0.13857660737773664,0.13857660737773664,team18/sr-hack-2019-dataset/513
32,1569490429.1835482,0.1321970512885145,0.1321970512885145,team18/sr-hack-2019-dataset/513
33,1569491196.977109,0.12814566653070392,0.12814566653070392,team18/sr-hack-2019-dataset/513
34,1569491970.5519123,0.12093429332208967,0.12093429332208967,team18/sr-hack-2019-dataset/513
35,1569492737.2288368,0.10964632877628931,0.10964632877628931,team18/sr-hack-2019-dataset/513
36,1569493512.4456089,0.10077132132889087,0.10077132132889087,team18/sr-hack-2019-dataset/513
37,1569494281.4421086,0.09256772549576758,0.09256772549576758,team18/sr-hack-2019-dataset/513
38,1569495049.7880933,0.0856359161675,0.0856359161675,team18/sr-hack-2019-dataset/513
39,1569495812.9914303,0.0821344931415189,0.0821344931415189,team18/sr-hack-2019-dataset/513
